"timeStamp","URL","blogName","title","tags","body"
"2023-04-04 03:33:41 GMT","https://pukicho.tumblr.com/post/713639037850796032/doctor-140000-a-year-furry-artist-on-patreon","pukicho","","[]","kolbye:

hokuto-ju-no-ken:

pukicho:

bog-dweller-official:

 pukicho:

boob-a-chu:

 trilllizard420:

pukicho:

trilllizard420:

pukicho:

Doctor: $140,000 a year

Furry artist on Patreon: $160,000 a year 

i think you’re lowballing the furry art amount tbh

I’m sorry for the inaccuracies, Doctor Yiff

no matter how I respond to this I don’t look good, well played. i walked right into that

Well, furry artists are typically more competent and courteous than your average doctor, so I can see that.

Did you just legitimately tell me that a person who draws wolf ass is more competent than a dude who spent 8+ years in a university to give you your lung transplant?

doctors are bullshit and furry artists perform an infinitely more valuable service to society compared to them

You will die in 7 days 

It took doctor’s like 10 years to diagnose what was wrong with me, some insisting I was faking for attention while a furry artist I knew just went “that sounds like crohn’s” after hearing me complain once and ended up being right

Also I can’t go to a doctor and ask them to draw Rouge the Bat wider than she is tall with tits to match, now can I

You could if you weren’t a fucking coward"
"2023-03-30 00:38:44 GMT","https://pukicho.tumblr.com/post/713175045970837504/schools-must-bring-back-the-dunce-cap","pukicho","","[]","schools must bring back the dunce cap"
"2023-03-29 17:12:50 GMT","https://pukicho.tumblr.com/post/713146992670507008/yes-of-course","pukicho","","[]","No offense i mean no offense really but i HATE seeing these normal-ass people at the top of my page, these fucking normals, normal weirdo freaks

Yes of course"
"2023-03-29 17:11:22 GMT","https://pukicho.tumblr.com/post/713146900062355456/no-offense-i-mean-no-offense-really-but-i-hate","pukicho","","[]","No offense i mean no offense really but i HATE seeing these normal-ass people at the top of my page, these fucking normals, normal weirdo freaks"
"2023-03-27 23:36:43 GMT","https://pukicho.tumblr.com/post/712989950353735680/baddasses-drive-their-harley-davison-into-a","pukicho","","[]","Baddasses drive their harley davison into a convenience store, killing three"
"2023-03-27 06:45:02 GMT","https://pukicho.tumblr.com/post/712926300960161792/this-one-was-for-the-fans","pukicho","","[]","neitheism:

pukicho:

M

wheres the rest of the post

this one was for the fans"
"2023-03-26 19:51:28 GMT","https://pukicho.tumblr.com/post/712885182382882816/m","pukicho","","[]","M"
"2023-03-23 19:36:39 GMT","https://pukicho.tumblr.com/post/712612458736582656/pukicho-i-am-so-lonely-sike-i-am-actually","pukicho","","[]","i am so lonely 

SIKE! I am actually badass as fuck"
"2023-03-23 19:36:18 GMT","https://pukicho.tumblr.com/post/712612436492124160/i-am-so-lonely","pukicho","","[]","i am so lonely"
"2023-03-23 00:34:43 GMT","https://pukicho.tumblr.com/post/712540614307266560/i-am-not-evil-i-am-just-fucked-up-in-an-evil","pukicho","","[]","I am not evil, I am just fucked up in an evil sorta way"
"2023-03-22 08:02:06 GMT","https://pukicho.tumblr.com/post/712478164389117952/pukicho-pukicho-i-would-love-to-visit-some","pukicho","","[]","pukicho:

I would love to visit some innocent happy gnome village and just start stompin 

Imagine the fear"
"2023-03-21 00:20:56 GMT","https://pukicho.tumblr.com/post/712358553230426112/pukicho-skyeblackout-pukicho-i-cast-curse-on","pukicho","","[]","skyeblackout:

pukicho:

  I cast curse on you

What kind of curse pukicho

Makes you like and reblog"
"2023-03-21 00:19:34 GMT","https://pukicho.tumblr.com/post/712358467787210752/i-cast-curse-on-you","pukicho","","[]","I cast curse on you"
"2023-03-20 19:54:21 GMT","https://pukicho.tumblr.com/post/712341781968257024","pukicho","","[]","thetrueomega:

pukicho:

soulsminecraftvillagernoises:

pukicho:

Hey guys, cool new trick i found 

Green

This isn’t new

Gfeen 

not your best post

I do not make posts for your satisfaction, I am not your slave-whore. 

Green"
"2023-03-20 17:52:33 GMT","https://pukicho.tumblr.com/post/712334118571163648/hey-guys-cool-new-trick-i-found-green","pukicho","","[]","Hey guys, cool new trick i found 

Green"
"2023-03-20 00:29:01 GMT","https://pukicho.tumblr.com/post/712268465051942912/linkthebeast-pukicho-vivid-hallucidations","pukicho","","[]","linkthebeast:

pukicho:

  vivid-hallucidations:

pukicho:

  Okay really, rate the mona lisa out of 10 

2

U wanna give ur reasoning? 

Ugly ass bitch

This feels very personal"
"2023-03-19 20:13:15 GMT","https://pukicho.tumblr.com/post/712252373227175936/i-got-food-poisoning-here-but-look-at-the-cool","pukicho","","[]","I got food poisoning here but look at the cool fire spoon"
